base_coin,period,volatility,timestamp
BTC,30,0.50160495,2025-01-06 15:00:00
BTC,30,0.50398749,2025-01-06 16:00:00
BTC,30,0.5039877,2025-01-06 17:00:00
BTC,30,0.50380904,2025-01-06 18:00:00
BTC,30,0.50381342,2025-01-06 19:00:00
BTC,30,0.50375372,2025-01-06 20:00:00
BTC,30,0.50363643,2025-01-06 21:00:00
BTC,30,0.50385849,2025-01-06 22:00:00
BTC,30,0.50395652,2025-01-06 23:00:00
BTC,30,0.50399983,2025-01-07 00:00:00
BTC,30,0.50401848,2025-01-07 01:00:00
BTC,30,0.50393242,2025-01-07 02:00:00
BTC,30,0.50394789,2025-01-07 03:00:00
BTC,30,0.50391194,2025-01-07 04:00:00
BTC,30,0.50384855,2025-01-07 05:00:00
BTC,30,0.50383258,2025-01-07 06:00:00
BTC,30,0.50384024,2025-01-07 07:00:00
BTC,30,0.503286,2025-01-07 08:00:00
BTC,30,0.5033176,2025-01-07 09:00:00
BTC,30,0.50320398,2025-01-07 10:00:00
BTC,30,0.50306447,2025-01-07 11:00:00
BTC,30,0.50341095,2025-01-07 12:00:00
BTC,30,0.50315212,2025-01-07 13:00:00
BTC,30,0.50264696,2025-01-07 14:00:00
BTC,30,0.50313006,2025-01-07 15:00:00
BTC,30,0.50835839,2025-01-07 16:00:00
BTC,30,0.5083895,2025-01-07 17:00:00
BTC,30,0.50856495,2025-01-07 18:00:00
BTC,30,0.50869503,2025-01-07 19:00:00
BTC,30,0.50870946,2025-01-07 20:00:00
BTC,30,0.50864006,2025-01-07 21:00:00
BTC,30,0.50859171,2025-01-07 22:00:00
BTC,30,0.50822703,2025-01-07 23:00:00
BTC,30,0.50577538,2025-01-08 00:00:00
BTC,30,0.50588548,2025-01-08 01:00:00
BTC,30,0.50590104,2025-01-08 02:00:00
BTC,30,0.505889,2025-01-08 03:00:00
BTC,30,0.50589082,2025-01-08 04:00:00
BTC,30,0.50597657,2025-01-08 05:00:00
BTC,30,0.50584818,2025-01-08 06:00:00
BTC,30,0.50741586,2025-01-08 07:00:00
BTC,30,0.50701865,2025-01-08 08:00:00
BTC,30,0.50682905,2025-01-08 09:00:00
BTC,30,0.50705654,2025-01-08 10:00:00
BTC,30,0.50692813,2025-01-08 11:00:00
BTC,30,0.50751583,2025-01-08 12:00:00
BTC,30,0.50737726,2025-01-08 13:00:00
BTC,30,0.50598527,2025-01-08 14:00:00
BTC,30,0.49898738,2025-01-08 15:00:00
BTC,30,0.49903962,2025-01-08 16:00:00
BTC,30,0.49941747,2025-01-08 17:00:00
BTC,30,0.49992092,2025-01-08 18:00:00
BTC,30,0.49927192,2025-01-08 19:00:00
BTC,30,0.49846285,2025-01-08 20:00:00
BTC,30,0.4978846,2025-01-08 21:00:00
BTC,30,0.49821268,2025-01-08 22:00:00
BTC,30,0.4990339,2025-01-08 23:00:00
BTC,30,0.49865998,2025-01-09 00:00:00
BTC,30,0.49865565,2025-01-09 01:00:00
BTC,30,0.49664949,2025-01-09 02:00:00
BTC,30,0.49662582,2025-01-09 03:00:00
BTC,30,0.49741973,2025-01-09 04:00:00
BTC,30,0.49763023,2025-01-09 05:00:00
BTC,30,0.49730576,2025-01-09 06:00:00
BTC,30,0.49740034,2025-01-09 07:00:00
BTC,30,0.4984,2025-01-09 08:00:00
BTC,30,0.49844325,2025-01-09 09:00:00
BTC,30,0.49872932,2025-01-09 10:00:00
BTC,30,0.49872913,2025-01-09 11:00:00
BTC,30,0.49830943,2025-01-09 12:00:00
BTC,30,0.49788534,2025-01-09 13:00:00
BTC,30,0.50072192,2025-01-09 14:00:00
BTC,30,0.49591996,2025-01-09 15:00:00
BTC,30,0.49814281,2025-01-09 16:00:00
BTC,30,0.49370539,2025-01-09 17:00:00
BTC,30,0.49650076,2025-01-09 18:00:00
BTC,30,0.49589388,2025-01-09 19:00:00
BTC,30,0.49720556,2025-01-09 20:00:00
BTC,30,0.49696818,2025-01-09 21:00:00
BTC,30,0.49705439,2025-01-09 22:00:00
BTC,30,0.49715674,2025-01-09 23:00:00
BTC,30,0.49712914,2025-01-10 00:00:00
BTC,30,0.49664075,2025-01-10 01:00:00
BTC,30,0.49398452,2025-01-10 02:00:00
BTC,30,0.49405065,2025-01-10 03:00:00
BTC,30,0.4941869,2025-01-10 04:00:00
BTC,30,0.49421344,2025-01-10 05:00:00
BTC,30,0.49419236,2025-01-10 06:00:00
BTC,30,0.49416959,2025-01-10 07:00:00
BTC,30,0.4934938,2025-01-10 08:00:00
BTC,30,0.49352025,2025-01-10 09:00:00
BTC,30,0.49348022,2025-01-10 10:00:00
BTC,30,0.49372181,2025-01-10 11:00:00
BTC,30,0.49374531,2025-01-10 12:00:00
BTC,30,0.49341282,2025-01-10 13:00:00
BTC,30,0.49554013,2025-01-10 14:00:00
BTC,30,0.49505555,2025-01-10 15:00:00
BTC,30,0.49520117,2025-01-10 16:00:00
BTC,30,0.49442101,2025-01-10 17:00:00
BTC,30,0.5004465,2025-01-10 18:00:00
BTC,30,0.50087349,2025-01-10 19:00:00
BTC,30,0.50113616,2025-01-10 20:00:00
BTC,30,0.5016277,2025-01-10 21:00:00
BTC,30,0.5015051,2025-01-10 22:00:00
BTC,30,0.50153005,2025-01-10 23:00:00
BTC,30,0.50138952,2025-01-11 00:00:00
BTC,30,0.50132703,2025-01-11 01:00:00
BTC,30,0.4992038,2025-01-11 02:00:00
BTC,30,0.49846954,2025-01-11 03:00:00
BTC,30,0.49838762,2025-01-11 04:00:00
BTC,30,0.49840513,2025-01-11 05:00:00
BTC,30,0.49853383,2025-01-11 06:00:00
BTC,30,0.49855691,2025-01-11 07:00:00
BTC,30,0.49826427,2025-01-11 08:00:00
BTC,30,0.49827154,2025-01-11 09:00:00
BTC,30,0.49831007,2025-01-11 10:00:00
BTC,30,0.49828205,2025-01-11 11:00:00
BTC,30,0.49803138,2025-01-11 12:00:00
BTC,30,0.49802638,2025-01-11 13:00:00
BTC,30,0.49726501,2025-01-11 14:00:00
BTC,30,0.49731216,2025-01-11 15:00:00
BTC,30,0.49723149,2025-01-11 16:00:00
BTC,30,0.49720271,2025-01-11 17:00:00
BTC,30,0.49660861,2025-01-11 18:00:00
BTC,30,0.49432794,2025-01-11 19:00:00
BTC,30,0.49393611,2025-01-11 20:00:00
BTC,30,0.49402788,2025-01-11 21:00:00
BTC,30,0.49359916,2025-01-11 22:00:00
BTC,30,0.49352816,2025-01-11 23:00:00
BTC,30,0.49352027,2025-01-12 00:00:00
BTC,30,0.49287859,2025-01-12 01:00:00
BTC,30,0.49287402,2025-01-12 02:00:00
BTC,30,0.49279933,2025-01-12 03:00:00
BTC,30,0.49269952,2025-01-12 04:00:00
BTC,30,0.49268975,2025-01-12 05:00:00
BTC,30,0.49263809,2025-01-12 06:00:00
BTC,30,0.49242392,2025-01-12 07:00:00
BTC,30,0.49240181,2025-01-12 08:00:00
BTC,30,0.49239287,2025-01-12 09:00:00
BTC,30,0.49232017,2025-01-12 10:00:00
BTC,30,0.49232323,2025-01-12 11:00:00
BTC,30,0.49240903,2025-01-12 12:00:00
BTC,30,0.49241851,2025-01-12 13:00:00
BTC,30,0.49188106,2025-01-12 14:00:00
BTC,30,0.49035197,2025-01-12 15:00:00
BTC,30,0.48895234,2025-01-12 16:00:00
BTC,30,0.48822517,2025-01-12 17:00:00
BTC,30,0.48817396,2025-01-12 18:00:00
BTC,30,0.48819655,2025-01-12 19:00:00
BTC,30,0.48827431,2025-01-12 20:00:00
BTC,30,0.48810419,2025-01-12 21:00:00
BTC,30,0.48824226,2025-01-12 22:00:00
BTC,30,0.48842858,2025-01-12 23:00:00
BTC,30,0.48892733,2025-01-13 00:00:00
BTC,30,0.48891513,2025-01-13 01:00:00
BTC,30,0.49057885,2025-01-13 02:00:00
BTC,30,0.49057484,2025-01-13 03:00:00
BTC,30,0.49039385,2025-01-13 04:00:00
BTC,30,0.4904676,2025-01-13 05:00:00
BTC,30,0.49057049,2025-01-13 06:00:00
BTC,30,0.49096507,2025-01-13 07:00:00
BTC,30,0.49096699,2025-01-13 08:00:00
BTC,30,0.49131395,2025-01-13 09:00:00
BTC,30,0.49135953,2025-01-13 10:00:00
BTC,30,0.49350206,2025-01-13 11:00:00
BTC,30,0.49434365,2025-01-13 12:00:00
BTC,30,0.49434415,2025-01-13 13:00:00
BTC,30,0.49452998,2025-01-13 14:00:00
BTC,30,0.49529035,2025-01-13 15:00:00
BTC,30,0.49544605,2025-01-13 16:00:00
BTC,30,0.49584312,2025-01-13 17:00:00
BTC,30,0.49645976,2025-01-13 18:00:00
BTC,30,0.49624566,2025-01-13 19:00:00
BTC,30,0.49595708,2025-01-13 20:00:00
BTC,30,0.49824123,2025-01-13 21:00:00
BTC,30,0.49877825,2025-01-13 22:00:00
BTC,30,0.49874029,2025-01-13 23:00:00
BTC,30,0.49876454,2025-01-14 00:00:00
BTC,30,0.49822062,2025-01-14 01:00:00
BTC,30,0.49831055,2025-01-14 02:00:00
BTC,30,0.49830882,2025-01-14 03:00:00
BTC,30,0.49782249,2025-01-14 04:00:00
BTC,30,0.49786453,2025-01-14 05:00:00
BTC,30,0.49775813,2025-01-14 06:00:00
BTC,30,0.49777576,2025-01-14 07:00:00
BTC,30,0.49771202,2025-01-14 08:00:00
BTC,30,0.49821832,2025-01-14 09:00:00
BTC,30,0.50201083,2025-01-14 10:00:00
BTC,30,0.50214619,2025-01-14 11:00:00
BTC,30,0.50207485,2025-01-14 12:00:00
BTC,30,0.50243553,2025-01-14 13:00:00
BTC,30,0.50254369,2025-01-14 14:00:00
BTC,30,0.50245123,2025-01-14 15:00:00
BTC,30,0.50229208,2025-01-14 16:00:00
BTC,30,0.50298114,2025-01-14 17:00:00
BTC,30,0.50381331,2025-01-14 18:00:00
BTC,30,0.50388885,2025-01-14 19:00:00
BTC,30,0.50394134,2025-01-14 20:00:00
BTC,30,0.50385803,2025-01-14 21:00:00
BTC,30,0.50364542,2025-01-14 22:00:00
BTC,30,0.50210792,2025-01-14 23:00:00
BTC,30,0.50109894,2025-01-15 00:00:00
BTC,30,0.5012408,2025-01-15 01:00:00
BTC,30,0.50055865,2025-01-15 02:00:00
BTC,30,0.50089265,2025-01-15 03:00:00
BTC,30,0.50119736,2025-01-15 04:00:00
BTC,30,0.50107261,2025-01-15 05:00:00
BTC,30,0.50107782,2025-01-15 06:00:00
BTC,30,0.50105062,2025-01-15 07:00:00
BTC,30,0.50088853,2025-01-15 08:00:00
BTC,30,0.5008624,2025-01-15 09:00:00
BTC,30,0.50103767,2025-01-15 10:00:00
BTC,30,0.5001458,2025-01-15 11:00:00
BTC,30,0.50016338,2025-01-15 12:00:00
BTC,30,0.50012509,2025-01-15 13:00:00
BTC,30,0.50262132,2025-01-15 14:00:00
BTC,30,0.50212118,2025-01-15 15:00:00
BTC,30,0.50205218,2025-01-15 16:00:00
BTC,30,0.50197069,2025-01-15 17:00:00
BTC,30,0.50211861,2025-01-15 18:00:00
BTC,30,0.50265975,2025-01-15 19:00:00
BTC,30,0.50224821,2025-01-15 20:00:00
BTC,30,0.50227088,2025-01-15 21:00:00
BTC,30,0.50222939,2025-01-15 22:00:00
BTC,30,0.50216085,2025-01-15 23:00:00
BTC,30,0.50287401,2025-01-16 00:00:00
BTC,30,0.50308324,2025-01-16 01:00:00
BTC,30,0.50313301,2025-01-16 02:00:00
BTC,30,0.50297384,2025-01-16 03:00:00
BTC,30,0.50286503,2025-01-16 04:00:00
BTC,30,0.50278883,2025-01-16 05:00:00
BTC,30,0.50278583,2025-01-16 06:00:00
BTC,30,0.50291011,2025-01-16 07:00:00
BTC,30,0.50256702,2025-01-16 08:00:00
BTC,30,0.50340186,2025-01-16 09:00:00
BTC,30,0.50344188,2025-01-16 10:00:00
BTC,30,0.50328967,2025-01-16 11:00:00
BTC,30,0.50317959,2025-01-16 12:00:00
BTC,30,0.50321224,2025-01-16 13:00:00
BTC,30,0.5022698,2025-01-16 14:00:00
BTC,30,0.50163784,2025-01-16 15:00:00
BTC,30,0.50486986,2025-01-16 16:00:00
BTC,30,0.50466948,2025-01-16 17:00:00
BTC,30,0.50402992,2025-01-16 18:00:00
BTC,30,0.50409776,2025-01-16 19:00:00
BTC,30,0.50488334,2025-01-16 20:00:00
BTC,30,0.50478401,2025-01-16 21:00:00
BTC,30,0.50462541,2025-01-16 22:00:00
BTC,30,0.50470338,2025-01-16 23:00:00
BTC,30,0.5047374,2025-01-17 00:00:00
BTC,30,0.50414977,2025-01-17 01:00:00
BTC,30,0.50695068,2025-01-17 02:00:00
BTC,30,0.50697537,2025-01-17 03:00:00
BTC,30,0.50613714,2025-01-17 04:00:00
BTC,30,0.50626233,2025-01-17 05:00:00
BTC,30,0.50623536,2025-01-17 06:00:00
BTC,30,0.50599238,2025-01-17 07:00:00
